행정동코드,상권업종중분류명,store_count
41113530,가구 소매,3
41113530,가전·통신 소매,15
41113530,가전제품 수리,25
41113530,가정용품 대여,4
41113530,고용 알선,30
41113530,광고,14
41113530,교육 지원,2
41113530,구내식당·뷔페,3
41113530,기술 서비스,7
41113530,기타 가정용품 수리,14
41113530,기타 간이,44
41113530,기타 교육,29
41113530,기타 보건,1
41113530,기타 사업 서비스,4
41113530,기타 상품 소매,4
41113530,기타 생활용품 소매,7
41113530,기타 숙박,2
41113530,담배 소매,3
41113530,도서관·사적지,2
41113530,모터사이클 소매,2
41113530,모터사이클 수리,1
41113530,법무관련 ,1
41113530,본사·경영 컨설팅,8
41113530,부동산 서비스,52
41113530,비알코올 ,24
41113530,사무 지원,1
41113530,사진 촬영,7
41113530,산업용품 대여,8
41113530,서양식,2
41113530,섬유·의복·신발 소매,24
41113530,세탁,12
41113530,수의,1
41113530,스포츠 서비스,15
41113530,시계·귀금속 소매,5
41113530,시설관리,3
41113530,시장 조사,1
41113530,식료품 소매,25
41113530,식물 소매,6
41113530,안경·정밀기기 소매,3
41113530,애완동물·용품 소매,3
41113530,여행사·보조,2
41113530,연료 소매,7
41113530,오락용품 소매,7
41113530,욕탕·신체관리,3
41113530,운송장비 대여,1
41113530,유원지·오락,36
41113530,의약·화장품 소매,15
41113530,의원,22
41113530,이용·미용,85
41113530,인쇄·제품제작,9
41113530,일반 교육,15
41113530,일반 숙박,9
41113530,일식,2
41113530,자동차 부품 소매,3
41113530,자동차 수리·세차,24
41113530,장식품 소매,1
41113530,전문 디자인,34
41113530,조경·유지,1
41113530,종합 소매,70
41113530,주점,28
41113530,중고 상품 소매,11
41113530,중식,16
41113530,철물·건설자재 소매,16
41113530,청소·방제,27
41113530,컴퓨터 수리,5
41113530,통신장비 수리,2
41113530,한식,140
41113530,회계·세무,1
41113540,가구 소매,3
41113540,가전·통신 소매,22
41113540,가전제품 수리,21
41113540,가정용품 대여,5
41113540,고용 알선,12
41113540,광고,7
41113540,구내식당·뷔페,3
41113540,기술 서비스,15
41113540,기타 가정용품 수리,12
41113540,기타 간이,44
41113540,기타 개인,1
41113540,기타 교육,21
41113540,기타 사업 서비스,3
41113540,기타 상품 소매,8
41113540,기타 생활용품 소매,10
41113540,기타 숙박,2
41113540,기타 전문 과학,3
41113540,담배 소매,1
41113540,도서관·사적지,2
41113540,동남아시아,2
41113540,모터사이클 소매,1
41113540,모터사이클 수리,4
41113540,법무관련 ,2
41113540,병원,1
41113540,본사·경영 컨설팅,7
41113540,부동산 서비스,49
41113540,비알코올 ,19
41113540,사진 촬영,4
41113540,산업용품 대여,12
41113540,서양식,3
41113540,섬유·의복·신발 소매,21
41113540,세탁,11
41113540,수의,1
41113540,스포츠 서비스,18
41113540,시계·귀금속 소매,6
41113540,식료품 소매,29
